pairs,Treatment,value
15 18,E,-1.4503989086880376
15 18,E,-1.9234780552680515
15 18,E,-1.3517336314146073
15 18,E,-1.6106983676275004
15 18,E,-1.2073609975938537
15 18,E,-1.5225468067253498
15 18,E,-1.1662221542698614
15 18,E,-1.8331110944728917
15 18,E,-0.9289694214325532
15 18,E,-1.5116963337544456
15 18,E,-1.2841094361889362
15 18,E,-1.6962088845601604
15 18,E,-1.3205301275950307
15 18,E,-1.354611677136748
15 18,E,-1.940870901582815
15 18,E,-1.984560577147916
15 18,E,-1.9102286929146006
15 18,E,-1.84607585884645
15 18,E,-1.2818721217348181
15 18,E,-1.6984461990142785
15 18,E,-2.018318077006283
15 18,E,-1.221539686504782
15 18,E,-1.7432585258808984
15 18,E,-1.2139630692956913
15 18,E,-1.5201906685118665
15 18,E,-1.133799557410706
15 18,E,-1.4829073265557113
15 18,E,-1.9020525871180696
15 18,E,-1.9678321671107686
15 18,E,-1.3252885227863216
15 18,E,-1.5517476145082636
15 18,E,-1.9460322111847226
15 18,E,-1.7479041021932002
15 18,E,-1.0182720152930655
15 18,E,-1.47508576852426
15 18,E,-1.2145161848162318
15 18,E,-1.5634501054667045
15 18,E,-1.0144213971201215
15 18,E,-1.5383509388842127
15 18,E,-1.177575447791548
15 18,E,-1.691526991591196
15 18,E,-1.9413666213757894
15 18,E,-1.1070163359933847
15 18,E,-1.6995300795303552
15 18,E,-1.2265360304658282
15 18,E,-1.6195445186171116
15 18,E,-1.9549729159809044
15 18,E,-1.8751289527369919
15 18,E,-1.1451722660600743
15 18,E,-1.2715226987612378
15 18,E,-1.177479306372388
15 18,E,-1.497662498359391
15 18,E,-1.4516782497111174
15 18,E,-1.6087027505053901
15 18,E,-1.9551017519344136
15 18,E,-1.2825156720248827
15 18,E,-1.5945204652697025
15 18,E,-1.1153202826002828
15 18,E,-1.642712690262377
15 18,E,-1.2180290983188844
15 18,E,-1.8232084747744
15 18,E,-1.1275153439760999
15 18,E,-1.5942910562909671
15 18,E,-0.9947262677176043
15 18,E,-1.3692766684733804
15 18,E,-1.8951374773531995
15 18,E,-1.244954325472213
15 18,E,-1.717477673569895
15 18,E,-1.2555376569503711
15 18,E,-1.6076064882360592
15 18,E,-1.9618122886455216
15 18,E,-1.14281999778828
15 18,E,-1.6637264177354598
15 18,E,-1.1610268625763254
15 18,E,-1.7989103511142517
15 18,E,-1.2430184403029163
15 18,E,-1.2837580480394268
15 18,E,-1.1859266937708863
15 18,E,-1.815364433864295
15 18,E,-1.1244800570785471
15 18,E,-1.8052786422545961
15 18,E,-1.2877062998949298
15 18,E,-1.7803740959452625
15 18,E,-1.25752162823262
15 18,E,-1.6261387464654344
15 18,E,-1.112442516692715
15 18,E,-1.70643091588968
15 18,E,-1.134007349045851
15 18,E,-1.5584490252027998
15 18,E,-1.199175026511554
15 18,E,-1.4783401189922287
15 18,E,-1.201689635654286
15 18,E,-1.699118585505522
15 18,E,-1.0176868041147928
15 18,E,-1.4755198734593227
15 18,E,-1.044666521562615
15 18,E,-1.6477898526860362
15 18,E,-1.1255679566195036
15 18,E,-1.4841039504285871
15 18,E,-1.2471273803501512
15 18,E,-1.766937985503581
15 18,E,-2.01216057088212
15 18,E,-1.004536764051061
15 18,E,-1.3594661721399237
15 18,E,-0.9471551921695431
15 18,E,-1.5442567285824362
15 18,E,-1.9412092093224713
15 18,E,-1.7472575904593222
15 18,E,-1.2479071758220521
15 18,E,-1.4233905384006449
15 18,E,-1.8284458157529293
15 18,E,-1.3459386697831455
15 18,E,-1.6549568188746309
15 18,E,-1.9541879667985653
15 18,E,-1.0950855437837173
15 18,E,-1.59526958713447
15 18,E,-1.2129199447363732
15 18,E,-1.6561824946463708
15 18,E,-1.8000348886646151
15 18,E,-2.034404304349983
15 18,E,-1.1320589575126694
15 18,E,-1.6259740153499902
15 18,E,-1.1382034822776486
15 18,E,-1.355003195296467
15 18,E,-1.998082821621671
15 18,E,-1.3153587350771547
15 18,E,-1.6987066307765775
15 18,E,-1.2383703825751327
15 18,E,-1.7634908564975207
15 18,E,-1.0758927594137255
15 18,E,-1.452147040266368
15 18,E,-1.944194492794165
15 18,E,-1.9517017216802426
15 18,E,-1.0641109850594803
15 18,E,-1.6829805445850516
15 18,E,-1.8944231887641771
15 18,E,-1.196304832140997
15 18,E,-1.5880575919850735
15 18,E,-1.8681714734325692
15 18,E,-1.2307061053687596
15 18,E,-1.734092107016921
15 18,E,-1.1990948496951639
15 18,E,-1.6845655250028904
15 18,E,-1.2233982579741347
15 18,E,-1.6455247879405417
15 18,E,-1.807061362689835
15 18,E,-2.004167971415514
15 18,E,-1.1225255236166216
15 18,E,-1.4813286020323013
15 18,E,-1.2167298579198154
15 18,E,-1.6840783632399925
15 18,E,-1.1050645102586607
15 18,E,-1.3116304545626511
15 18,E,-1.1119296676113704
15 18,E,-1.7947058400621194
15 18,E,-1.1762074262102389
15 18,E,-1.49893437852154
15 18,E,-1.0497653071189712
15 18,E,-1.642527894812269
15 18,E,-1.1955922698041186
15 18,E,-1.5108030451816234
15 18,E,-1.11326640724148
15 18,E,-1.4655195580035942
15 18,E,-1.1403691335564228
15 18,E,-1.7287333058263215
15 18,E,-1.2757271081706125
15 18,E,-1.8866132686538657
15 18,E,-1.0804261534795305
15 18,E,-1.6062124393699533
15 18,E,-1.9215115123912518
15 18,E,-0.9648476870319168
15 18,E,-1.4758180681550819
15 18,E,-1.1701710926558069
15 18,E,-1.8293439372378748
15 18,E,-1.0550269166401465
15 18,E,-1.2375980285183046
15 18,E,-1.2409148821909706
15 18,E,-1.6663746037775602
15 18,E,-1.8905143697448428
15 18,E,-1.4028027939595415
15 18,E,-1.7186498255980305
15 18,E,-2.0372984351292174
15 18,E,-1.8460095295384258
15 18,E,-1.8311620572060907
15 18,E,-1.8829064685546786
15 18,E,-1.0873502891807472
15 18,E,-1.64078359663938
15 18,E,-1.2215056243890152
15 18,E,-1.819731948704269
15 18,E,-1.057153319189754
15 18,E,-1.3595416456315579
15 18,E,-1.1348599531297285
15 18,E,-1.8188605201857817
15 18,E,-1.2683705780030132
15 18,E,-1.615104005567111
15 18,E,-1.9063314095330361
15 18,E,-1.2391491396744982
15 18,E,-1.5487687046962506
15 18,E,-1.7893776494620581
15 18,E,-1.0172753393217007
15 18,E,-1.250173039586645
15 18,E,-1.3354964932657565
15 18,E,-1.4811087015716553
15 18,E,-1.14637950303098
15 18,E,-1.3049974776531001
15 18,E,-1.2802097230900065
15 18,E,-1.5412118788968208
15 18,E,-1.1387488452317702
15 18,E,-1.3546089385855553
15 18,E,-2.0126321120115693
15 18,E,-1.27265105944918
15 18,E,-1.516116706541796
15 18,E,-1.1064821605047692
15 18,E,-1.8944133281530071
15 18,E,-2.004766852242349
15 18,E,-1.184586909697744
15 18,E,-1.8566506633955402
15 18,E,-1.2833983990088786
15 18,E,-1.3637249381097647
15 18,E,-1.921357734626571
15 18,E,-0.9168863321723005
15 18,E,-1.5237794230146982
15 18,E,-1.2181989218991982
15 18,E,-1.7499365452882396
15 18,E,-1.1142739717871943
15 18,E,-1.4895801538617286
15 18,E,-1.2939932034687118
15 18,E,-1.6550188256994216
15 18,E,-1.0326348106134968
15 18,E,-1.4607229732038287
15 18,E,-1.9302982073809474
15 18,E,-1.1425054527504235
15 18,E,-1.8568277959923296
15 18,E,-1.1250084060319212
15 18,E,-1.602737100924948
15 18,E,-1.9375724589197625
15 18,E,-1.004774524809896
15 18,E,-1.5393294245724098
15 18,E,-1.933662654316602
15 18,E,-1.7878227835450569
15 18,E,-1.1887800152644814
15 18,E,-1.680143030650195
15 18,E,-1.1978501844814742
15 18,E,-1.5900676598892747
15 18,E,-1.9643953374671765
15 18,E,-0.9495402900996754
15 18,E,-1.4144626460913092
15 18,E,-1.8711940131010822
15 18,E,-1.1676688228831857
15 18,E,-1.4043020748480157
15 18,E,-1.0587993794299684
15 18,E,-1.2086489994783773
15 18,E,-1.9308185316189461
15 18,E,-1.0427773587123121
15 18,E,-1.6438612341371717
15 18,E,-1.0757008361839766
15 18,E,-1.6165923657472638
15 18,E,-1.0871983541563506
15 18,E,-1.654238566406425
15 18,E,-1.8840463843061024
15 18,E,-1.980263067637619
15 18,E,-1.2673853831050281
15 18,E,-1.528261919364445
15 18,E,-1.0017427924913898
15 18,E,-1.4389229626956088
15 18,E,-1.1926226139680283
15 18,E,-1.339971655773482
15 18,E,-0.9997124615893436
15 18,E,-1.5442403815497523
15 18,E,-1.3500461548397584
15 18,E,-1.6123858442023495
15 18,E,-1.1726491786107138
15 18,E,-1.3597819188133857
15 18,E,-1.9986661892340398
15 18,E,-1.2053158531143668
15 18,E,-1.7661065966747838
15 18,E,-1.171665656141375
15 18,E,-1.586367316721285
15 18,E,-1.9670335437684368
15 18,E,-1.1139929189034188
15 18,E,-1.8157657804297247
15 18,E,-1.1156522208390893
15 18,E,-1.6908941946846505
15 18,E,-1.0271738252509792
15 18,E,-1.7199177043935527
15 18,E,-1.1057738419852838
15 18,E,-1.5866825322633673
15 18,E,-1.0782973863168628
15 18,E,-1.857829014452651
15 18,E,-1.1813984529640855
15 18,E,-1.602963971161985
15 18,E,-1.3371695417291083
15 18,E,-1.5989568590404055
15 18,E,-1.1779076535509967
15 18,E,-1.3940632441802046
15 18,E,-1.136174165120035
15 18,E,-1.7646340560397729
15 18,E,-1.19104099657904
15 18,E,-1.6379252900277126
15 18,E,-1.9850776088346016
15 18,E,-1.1488798972784284
15 18,E,-1.6390379470923202
15 18,E,-1.1281374449197556
15 18,E,-1.3986390434225875
15 18,E,-1.2401595663476073
15 18,E,-1.8132866004704007
15 18,E,-1.0882301943790464
15 18,E,-1.641677609940157
15 18,E,-1.9215115123912518
15 18,E,-1.8715705307435402
15 18,E,-1.8460735655265244
15 18,E,-1.078275055795838
15 18,E,-1.6631618647669375
15 18,E,-2.0471375637370253
15 18,E,-0.9495402900996754
15 18,E,-1.4144626460913092
15 18,E,-1.1539575108430313
15 18,E,-1.7997629624724791
15 18,E,-1.0444786500003092
15 18,E,-1.647814551930931
15 18,E,-1.1416031477419692
15 18,E,-1.6649432677817704
15 18,E,-1.9370494310110948
15 18,E,-1.3169161136909897
15 18,E,-1.389653582661268
15 18,E,-1.782824364814195
15 18,E,-1.0194156086784796
15 18,E,-1.6161411945264155
15 18,E,-1.8602412641271497
15 18,E,-1.1055382824962408
15 18,E,-1.652494690366419
15 18,E,-1.2624979210555927
15 18,E,-1.6328497814953984
15 18,E,-1.1274135788385293
15 18,E,-1.8865527879518205
15 18,E,-1.8855932936261115
15 18,E,-1.0427773587123121
15 18,E,-1.6438612341371717
15 18,E,-1.2572320490612612
15 18,E,-1.6262425345088631
15 18,E,-1.3032040396528237
15 18,E,-1.5296526396278165
15 18,E,-1.1209359025873342
15 18,E,-1.8148658466603786
15 18,E,-1.922313216020951
15 18,E,-1.8471135536341061
15 18,E,-1.8323236839652564
15 18,E,-1.170383730880562
15 18,E,-1.4753777039343317
15 18,E,-1.0143064048134725
15 18,E,-1.2094149551956925
15 18,E,-1.2381817493003076
15 18,E,-1.8559050336974967
15 18,E,-1.1438690680185906
15 18,E,-1.4599850576303324
15 18,E,-1.0356958178171356
15 18,E,-1.70574110274564
15 18,E,-1.099610642613205
15 18,E,-1.7069357729105348
15 18,E,-1.2140599802425247
15 18,E,-1.5747077857484515
15 18,E,-1.1421455752600054
15 18,E,-1.7651439107085254
15 18,E,-1.2471268831229365
15 18,E,-1.4806186238339327
15 18,E,-1.9436207272256707
15 18,E,-1.0260089426879606
15 18,E,-1.5267633933163736
15 18,E,-1.2038260536460883
15 18,E,-1.5788986624303183
15 18,E,-1.1536170515894961
15 18,E,-1.6529293639342437
15 18,E,-1.2756144010660568
15 18,E,-1.8184723819317474
15 18,E,-1.1373193423921168
15 18,E,-1.8226178712984604
15 18,E,-1.9397413232932963
15 18,E,-1.9737365143490075
15 18,E,-1.4027690664100776
15 18,E,-1.418470754425821
15 18,E,-1.095030932222659
15 18,E,-1.8347277671104845
15 18,E,-1.3599638562551335
15 18,E,-1.4373278509097862
15 18,E,-1.02723241371575
15 18,E,-1.5167204294233458
15 18,E,-1.153426611519926
15 18,E,-1.539029762728725
15 18,E,-1.1190327568532037
15 18,E,-1.7582063181550571
15 18,E,-1.1590849203957871
15 18,E,-1.7181541546124737
15 18,E,-1.1605322284263988
15 18,E,-1.5975007444362612
15 18,E,-1.1559328365444053
15 18,E,-1.565873563722662
15 18,E,-1.8806469563440178
15 18,E,-1.8092461824203372
15 18,E,-1.2629224112658692
15 18,E,-1.614113726028716
15 18,E,-0.9917335043111266
15 18,E,-1.5522193388279693
15 18,E,-1.2094986363548323
15 18,E,-1.574684394303171
15 18,E,-1.2339753883578333
15 18,E,-1.5506774829144812
15 18,E,-1.334286029450317
15 18,E,-1.6460322912987797
15 18,E,-1.0080829619559804
15 18,E,-1.4798872469038087
15 18,E,-1.8347127410246662
15 18,E,-1.052609180769239
15 18,E,-1.6755247050508881
15 18,E,-1.0495275307059226
15 18,E,-1.6429288435427285
15 18,E,-0.9246194489472135
15 18,E,-1.5667924718047659
15 18,E,-1.2648800708850503
15 18,E,-1.6841319582830832
15 18,E,-0.9848801729847281
15 18,E,-1.307744772173723
15 18,E,-1.1355217792792633
15 18,E,-1.8848407213542204
15 18,E,-1.1248285319587126
15 18,E,-1.663089312412036
15 18,E,-1.87110700748662
15 18,E,-1.1149456565757416
15 18,E,-1.494563078154938
15 18,E,-1.2975546878734219
15 18,E,-1.4933976670566864
15 18,E,-1.1812611861302404
15 18,E,-1.702399188567814
15 18,E,-1.1722749519890194
15 18,E,-1.6426653851890853
15 18,E,-1.9212282808080992
15 18,E,-1.1642404003332212
15 18,E,-1.7531971952908156
15 18,E,-0.99404940028715
15 18,E,-1.4991572772869657
15 18,E,-1.9213995448350993
15 18,E,-1.250408104560693
15 18,E,-1.7073983722137875
15 18,E,-1.1864964693546847
15 18,E,-1.6349251326321426
15 18,E,-1.1055161594768539
15 18,E,-1.5867770424543863
15 18,E,-1.9594880331814732
15 18,E,-1.234593550245887
15 18,E,-1.4429215952578955
15 18,E,-1.0643222646389061
15 18,E,-1.6829324373230368
15 18,E,-2.044595703640341
15 18,E,-1.8005438569045666
15 18,E,-1.1032865784923938
15 18,E,-1.372408120205361
15 18,E,-1.7900637886624609
15 18,E,-1.2894445647566393
15 18,E,-1.7114509239011373
15 18,E,-1.3661280550439077
15 18,E,-1.654055052121509
15 18,E,-1.2267167758985247
15 18,E,-1.4506239882387417
